id,name
1,matrices
2,Managed
3,Networked
4,De-engineered
5,projection
6,contextually-based
7,directional
8,object-oriented
9,Upgradable
10,Digitized
11,architecture
12,optimizing
13,access
14,interface
15,solution-oriented
16,workforce
17,function
18,Sharable
19,bi-directional
20,Visionary
21,homogeneous
22,eco-centric
23,moratorium
24,Total
25,real-time
26,reciprocal
27,matrix
28,knowledge user
29,Polarised
30,approach
31,open system
32,exuding
33,fresh-thinking
34,approach new
35,hardwares
36,knowledge base
37,artificial intelli
38,Ergonomic
39,budgetary management
40,user-facing
41,Centralized
42,complexity
43,bifurcated
44,object-orient
45,Ameliorated
46,background
47,mission-critical
48,array
49,info-mediaries
50,Progressive
51,u-directional
52,Focused
53,parallelism
54,Diverse
55,Digitizeded
56,client-server
57,encryption
58,Graphical User
59,i-directional
60,hardwared
61,well-modulated
62,Adaptive
63,Distributed
64,orchestration
65,globaled
66,Enhanced
67,foreground
68,modulared
69,Innovative
70,pricing structure
71,focus group
72,asynchronous
73,Expanded
74,groupware
75,firmware
76,full-range
77,eco-centrice
78,Up-sized
79,didactic
80,Down-sized
81,Devolved
82,explicit
83,well-modulat
84,De-engineereded
85,radical
86,zero administration
87,Synergistic
88,responsive
89,moderator
90,Visionaryty
91,homogen
92,global
93,asymmetric
94,utilisation
95,support
96,modular
97,hardware
98,coherent
99,mission-critic
100,De-engineer
